team1,powerplay_runs_team1,powerplay_wickets_team1,team2,powerplay_runs_team2,powerplay_wickets_team2,venue,pitch_type,homeground_advantage,team1_toss_win,teampoint_diff,team1_win
7,49,3,12,44,0,15,2,0,1,-61,0
11,55,0,9,50,1,15,2,0,1,-35,1
7,45,2,3,43,2,29,-1,0,1,-426,0
12,38,2,1,32,4,5,1,0,1,258,1
4,62,1,11,69,1,15,2,0,0,-677,0
9,61,0,6,47,2,29,-1,0,1,-108,1
3,42,3,1,33,2,30,1,0,1,623,0
6,45,2,7,46,0,15,2,0,1,-25,0
12,26,2,9,23,3,15,2,0,1,194,1
11,37,1,3,41,2,30,1,0,0,-594,0
4,40,2,1,38,2,30,1,0,0,-648,1
9,40,2,6,26,2,20,1,0,1,-108,1
7,38,2,12,35,0,15,2,0,1,-61,1
11,39,2,1,30,3,29,-1,0,1,29,0
4,53,2,3,49,2,27,1,0,0,-1271,1
6,28,1,12,51,2,29,-1,0,1,-86,0
9,25,3,7,51,1,27,1,0,1,-133,0
4,53,0,11,52,3,20,1,0,1,-677,1
1,57,0,12,29,4,15,2,0,0,-258,1
6,54,0,3,57,0,15,2,0,1,-451,0
11,37,2,9,41,2,30,1,0,1,-35,1
7,29,3,1,31,1,30,1,0,0,197,0
4,57,1,12,53,1,30,1,0,1,-906,1
9,30,2,3,36,0,20,1,0,1,-559,0
11,52,1,12,45,2,33,1,0,0,-229,0
1,34,1,4,37,2,33,1,0,1,648,0
9,46,1,7,39,2,29,-1,0,1,-133,1
6,37,3,3,47,0,27,1,0,0,-451,0
11,42,2,1,30,2,33,1,0,1,29,1
6,38,2,7,46,0,30,1,0,0,-25,0
12,51,3,9,42,2,30,1,0,1,194,0
3,56,1,11,50,2,15,2,0,0,594,1
4,52,2,7,33,3,15,2,0,1,-845,0
1,42,0,9,26,3,15,2,0,1,-64,1
3,38,2,12,37,3,28,1,0,0,365,0
9,49,1,4,35,2,29,-1,0,1,712,0
6,31,1,11,50,0,27,1,0,0,143,0
12,39,2,11,46,2,27,1,0,0,229,1
3,35,2,1,24,2,28,1,0,1,623,1
4,54,0,6,56,1,30,1,0,1,-820,0
3,37,3,7,27,1,27,1,0,1,426,0
1,46,4,6,29,3,15,2,0,0,-172,0
4,50,1,12,29,1,15,2,0,1,-906,1
9,30,3,3,60,1,30,1,0,0,-559,0
7,33,1,11,64,0,30,1,0,1,168,1
3,49,2,11,84,1,30,1,0,0,594,0
4,52,0,7,59,2,27,1,0,0,-845,0
11,31,2,7,36,1,27,1,0,0,-168,1
6,69,4,11,62,1,31,1,2,0,658,1
9,44,1,1,39,2,11,1,2,1,530,1
12,24,3,3,39,2,17,1,1,0,-244,0
7,57,3,6,61,0,18,1,2,0,-233,0
11,47,2,4,34,4,32,-2,2,1,-719,1
1,50,3,3,60,2,7,1,1,0,-46,0
12,31,0,7,61,0,2,1,2,1,-43,0
4,67,1,6,45,3,18,1,2,1,61,1
9,31,1,3,56,1,24,2,2,0,484,1
1,52,1,7,59,0,2,1,2,0,155,0
3,56,1,4,56,1,24,2,1,1,-93,0
11,56,2,12,27,3,19,-1,2,0,-382,1
1,45,2,6,38,1,7,1,1,1,-78,1
9,47,2,7,55,0,11,1,1,1,685,0
11,38,2,3,48,1,19,-1,1,1,-626,1
12,41,2,4,42,2,32,-2,2,0,-337,1
6,38,0,9,57,0,11,1,2,1,-452,0
7,53,1,4,29,1,2,1,1,0,-294,1
1,51,1,12,76,1,17,1,2,0,198,1
4,55,2,9,63,0,11,1,2,0,-391,0
11,50,2,1,54,0,7,1,2,1,-580,0
6,64,2,12,42,2,17,1,2,1,276,1
3,58,2,7,46,0,2,1,2,0,201,1
1,52,1,4,58,1,7,1,1,1,-139,1
9,62,1,11,50,4,31,1,2,0,1110,1
3,48,3,6,36,3,24,2,1,1,-32,1
12,52,2,9,45,1,11,1,2,0,-728,0
7,52,1,4,56,0,32,-2,2,1,-294,0
3,46,3,1,39,4,24,2,2,1,46,1
6,41,2,11,59,1,18,1,1,1,658,1
12,66,1,7,51,1,17,1,1,1,-43,0
4,53,1,1,62,0,32,-2,2,1,139,1
9,53,0,11,40,2,11,1,1,1,1110,1
6,54,0,12,69,1,18,1,1,1,276,0
3,48,2,7,38,1,24,2,1,1,201,1
1,42,2,11,52,2,8,1,2,1,580,1
4,52,1,9,46,0,32,-2,1,1,-391,1
12,50,1,1,70,0,12,1,2,1,-198,0
6,46,1,3,44,0,18,1,1,1,32,1
7,51,1,11,32,1,2,1,1,0,425,0
9,55,2,12,56,1,17,1,2,1,728,0
4,61,1,11,37,2,8,1,2,1,719,0
6,45,1,7,48,1,2,1,2,0,233,0
3,47,3,12,39,0,24,2,1,1,244,0
9,35,3,1,34,3,12,1,2,0,530,1
11,44,3,7,38,1,8,1,1,0,-425,1
9,22,1,3,69,1,11,1,1,1,484,1
6,30,4,4,67,1,32,-2,2,1,-61,0
1,39,3,7,59,2,12,1,1,1,155,0
4,43,3,3,33,3,32,-2,1,1,93,0
12,34,1,11,45,1,22,1,1,0,382,0
9,46,0,7,34,2,2,1,2,0,685,1
1,49,0,6,42,2,18,1,2,1,-78,0
12,38,1,4,49,2,22,1,1,0,-337,0
11,42,2,3,39,3,24,2,2,1,-626,1
9,54,2,6,44,0,18,1,2,1,452,0
9,39,2,7,44,1,31,1,1,1,685,1
4,27,3,11,23,2,31,1,2,1,719,1
11,40,3,7,33,0,31,1,1,1,-425,0
4,36,0,9,33,1,31,1,2,1,-391,1
4,45,1,6,52,0,32,-2,1,1,173,1
11,44,2,1,31,1,3,1,2,0,-592,0
8,61,0,7,48,2,13,1,1,1,-167,0
3,38,3,9,31,1,24,2,1,1,170,0
12,36,4,2,44,1,31,1,2,1,25,0
